State,Constituency,Votes,Percentage,Party,Candidate
Andaman & Nicobar Islands,Andaman & Nicobar Islands ,95308,45.98,Indian National Congress,KULDEEP RAI SHARMA
Andhra Pradesh,Amalapuram,485313,39.43,Yuvajana Sramika Rythu Congress Party,CHINTA ANURADHA
Andhra Pradesh,Anakapalli,586226,47.33,Yuvajana Sramika Rythu Congress Party,Dr.Beesetti Venkata Satyavathi
Andhra Pradesh,Anantapur,695208,51.79,Yuvajana Sramika Rythu Congress Party,TALARI RANGAIAH
Andhra Pradesh,Aruku,562190,52.32,Yuvajana Sramika Rythu Congress Party,GODDETI. MADHAVI
Andhra Pradesh,Bapatla,598257,47.24,Yuvajana Sramika Rythu Congress Party,NANDIGAM SURESH
Andhra Pradesh,Chittoor,686792,52.05,Yuvajana Sramika Rythu Congress Party,N. REDDEPPA
Andhra Pradesh,Eluru,676809,50.97,Yuvajana Sramika Rythu Congress Party,KOTAGIRI SRIDHAR
Andhra Pradesh,Hindupur,706602,52.79,Yuvajana Sramika Rythu Congress Party,KURUVA GORANTLA MADHAV
Andhra Pradesh,Kadapa,783799,63.8,Yuvajana Sramika Rythu Congress Party,Y.S.Avinash Reddy
Andhra Pradesh,Kurnool,602554,50.98,Yuvajana Sramika Rythu Congress Party,AYUSHMAN DOCTOR SANJEEV KUMAR
Andhra Pradesh,Machilipatnam,571436,46.02,Yuvajana Sramika Rythu Congress Party,BALASHOWRY VALLABHANENI
Andhra Pradesh,Nandyal,720888,55.49,Yuvajana Sramika Rythu Congress Party,POCHA . BRAHMANANDA REDDY
Andhra Pradesh,Narasaraopet,745089,51.83,Yuvajana Sramika Rythu Congress Party,LAVU SRI KRISHNA DEVARAYALU
Andhra Pradesh,Narsapuram,447594,38.11,Yuvajana Sramika Rythu Congress Party,KANUMURU RAGHU RAMA KRISHNA RAJU
Andhra Pradesh,Nellore,683830,53.13,Yuvajana Sramika Rythu Congress Party,Adala Prabhakara Reddy
Andhra Pradesh,Ongole,739202,55.07,Yuvajana Sramika Rythu Congress Party,MAGUNTA SREENIVASULU REDDY
Andhra Pradesh,Rajahmundry,582024,46.55,Yuvajana Sramika Rythu Congress Party,MARGANI BHARAT
Andhra Pradesh,Rajampet,702211,57.35,Yuvajana Sramika Rythu Congress Party,P.V.MIDHUN REDDY
Andhra Pradesh,Srikakulam,534544,46.19,Telugu Desam,KINJARAPU RAM MOHAN NAIDU
Andhra Pradesh,Tirupati,722877,55.03,Yuvajana Sramika Rythu Congress Party,Balli Durga Prasad Rao
Andhra Pradesh,Vijayawada,575498,45.04,Telugu Desam,KESINENI SRINIVAS (NANI)
Andhra Pradesh,Visakhapatnam,436906,35.24,Yuvajana Sramika Rythu Congress Party,M V V SATYANARAYANA
Andhra Pradesh,Vizianagaram,578418,47.49,Yuvajana Sramika Rythu Congress Party,Bellana Chandra Sekhar
Andhra Pradesh ,Guntur,587918,43.5,Telugu Desam,Jayadev Galla
Andhra Pradesh ,Kakinada,537630,43.54,Yuvajana Sramika Rythu Congress Party,VANGA GEETHAVISWANATH
Arunachal Pradesh,ARUNACHAL EAST,153883,52.38,Bharatiya Janata Party,Tapir Gao
Arunachal Pradesh,ARUNACHAL WEST,225796,63.02,Bharatiya Janata Party,KIREN RIJIJU
Assam,Autonomous District,381316,61.73,Bharatiya Janata Party,HOREN SING BEY
Assam,Barpeta,645173,44.23,Indian National Congress,Abdul Khaleque
Assam,Dhubri,718764,42.66,All India United Democratic Front,BADRUDDIN AJMAL
Assam,Dibrugarh,659583,64.94,Bharatiya Janata Party,RAMESWAR TELI
Assam,Gauhati,1008936,57.2,Bharatiya Janata Party,QUEEN OJA
Assam,Jorhat,543288,51.35,Bharatiya Janata Party,TOPON KUMAR GOGOI
Assam,Kaliabor,786092,55.18,Indian National Congress,Gaurav Gogoi
Assam,Karimganj,473046,44.62,Bharatiya Janata Party,KRIPANATH MALLAH
Assam,Kokrajhar,484560,32.75,Independent,Naba Kumar Sarania
Assam,Lakhimpur,776406,60.49,Bharatiya Janata Party,PRADAN BARUAH
Assam,Mangaldoi,735469,48.83,Bharatiya Janata Party,DILIP SAIKIA
Assam,Nowgong,739724,49.53,Indian National Congress,Pradyut Bordoloi
Assam,Silchar,499414,52.59,Bharatiya Janata Party,RAJDEEP ROY
Assam,Tezpur,684166,57.48,Bharatiya Janata Party,PALLAB LOCHAN DAS
Bihar,Araria,618434,52.87,Bharatiya Janata Party,PRADEEP KUMAR SINGH
Bihar,Arrah,566480,52.42,Bharatiya Janata Party,R. K. Singh
Bihar,Aurangabad,431541,45.83,Bharatiya Janata Party,SUSHIL KUMAR SINGH
Bihar,Banka,477788,47.98,Janata Dal (United),GIRIDHARI YADAV
Bihar,Begusarai,692193,56.48,Bharatiya Janata Party,Giriraj Singh
Bihar,Bhagalpur,618254,59.3,Janata Dal (United),AJAY KUMAR MANDAL
Bihar,Buxar,473053,47.94,Bharatiya Janata Party,Ashwini Kumar Choubey
Bihar,Darbhanga,586668,60.79,Bharatiya Janata Party,Gopal Jee Thakur
Bihar,Gaya (SC),467007,48.79,Janata Dal (United),Vijay Kumar
Bihar,Gopalganj (SC),568150,55.44,Janata Dal (United),DR. ALOK KUMAR SUMAN
Bihar,Hajipur (SC),541310,53.76,Lok Jan Shakti Party,PASHU PATI KUMAR PARAS
Bihar,Jahanabad,335584,40.82,Janata Dal (United),CHANDESHWAR PRASAD
Bihar,Jamui (SC),529134,55.75,Lok Jan Shakti Party,CHIRAG KUMAR PASWAN
Bihar,Jhanjharpur,602391,56.8,Janata Dal (United),Ramprit Mandal
Bihar,Karakat,398408,45.86,Janata Dal (United),MAHABALI SINGH
Bihar,Katihar,559423,50.05,Janata Dal (United),DULAL CHANDRA GOSWAMI
Bihar,Khagaria,510193,52.77,Lok Jan Shakti Party,Choudhary Mehboob Ali Kaiser
Bihar,Kishanganj,367017,33.32,Indian National Congress,Dr. Mohammad Jawed
Bihar,Madhepura,624334,54.42,Janata Dal (United),Dinesh Chandra Yadav
Bihar,Madhubani,595843,61.83,Bharatiya Janata Party,ASHOK KUMAR YADAV
Bihar,Maharajganj,546352,56.17,Bharatiya Janata Party,"Janardan Singh 'Sigriwal"""
Bihar,Munger,528762,51.03,Janata Dal (United),RAJIV RANJAN SINGH ALIAS LALAN SINGH
Bihar,Muzaffarpur,666878,63.03,Bharatiya Janata Party,Ajay Nishad
Bihar,Nalanda,540888,52.45,Janata Dal (United),Kaushlendra Kumar
Bihar,Nawada,495684,52.59,Lok Jan Shakti Party,Chandan Singh
Bihar,Paschim Champaran,603706,59.6,Bharatiya Janata Party,DR. SANJAY JAISWAL
Bihar,Pataliputra,509557,47.28,Bharatiya Janata Party,RAM KRIPAL YADAV
Bihar,Patna Sahib,607506,61.85,Bharatiya Janata Party,RAVI SHANKAR PRASAD
