State Name,Total Electors,Total Actual Votes,Male,Female ,Other ,Total Voters,EVM Vote,Postal Vote,Migrant Vote
Andaman & Nicobar Islands,317878,207296,109407,97671,2,207080,207080,216,0
Andhra Pradesh*,39345717,31607242,15567765,15818150,709,31386624,31380829,226413,0
Arunachal Pradesh,798249,652091,300798,326179,0,626977,626977,25114,0
Assam,21991112,17986066,9184449,8748413,23,17932885,17932885,53181,0
Bihar,71063555,40805297,20688548,19978743,53,40667344,40667344,137953,0
Chandigarh,646084,456568,240635,215557,15,456207,456207,361,0
Chhattisgarh,18999239,13614453,6892813,6689419,134,13582366,13582366,32087,0
Dadra & Nagar Haveli,250021,198983,103446,95479,0,198925,198925,58,0
Daman & Diu,121729,87469,41600,45841,0,87441,87441,28,0
Goa,1135811,853203,409471,441780,0,851251,851251,1952,0
Gujarat*,45125680,29081964,15717100,13214160,249,28931509,28930120,151844,0
Haryana,17951028,12681536,6827260,5800550,37,12627847,12627847,53689,0
Himachal Pradesh,5262126,3850732,1865371,1936379,16,3801766,3801766,48966,0
Jammu & Kashmir,7844898,3552622,1851647,1643820,3,3495470,3495470,43615,13537
Jharkhand,22364480,14961958,7642331,7281044,39,14923414,14923414,38544,0
Karnataka,51051307,35138682,17972984,17080161,515,35053660,35053660,85022,0
Kerala,26151534,20385216,9700572,10611007,62,20311641,20311641,73575,0
Lakshadweep,55057,47009,23301,23576,0,46877,46877,132,0
Madhya Pradesh,51794665,36910610,19835181,17001270,491,36836942,36836942,73668,0
Maharashtra,88564748,54054245,28985002,24852778,609,53838389,53838389,215856,0
Manipur,1939244,1617330,768058,838333,17,1606408,1606408,10922,0
Meghalaya*,1911372,1367231,651490,713584,0,1365074,1364843,2388,0
Mizoram,787777,499621,244562,252218,0,496780,496780,2841,0
Nagaland,1206287,1006357,507247,494895,0,1002142,1002142,4215,0
Delhi,14316453,8679012,4788107,3875513,157,8663777,8663777,15235,0
Odisha,32455313,23790972,11971460,11744982,262,23716704,23716704,74268,0
Puducherry,973161,790760,371347,418834,71,790252,790252,508,0
Punjab,20781211,13765432,7256450,6451485,150,13708085,13708085,57347,0
Rajasthan,48819246,32441064,16920849,15334577,105,32255531,32255531,185533,0
Sikkim,435599,351746,173235,166645,0,339880,339880,11866,0
Tamil Nadu,59869758,42366721,20797629,21362072,1113,42160814,42160814,205907,0
Telangana*,29697279,18642895,9380568,9245453,232,18626253,18625876,17019,0
Tripura,2605326,2153172,1088362,1053908,5,2142275,2142275,10897,0
Uttar Pradesh,145858999,86481398,46279932,39940366,347,86220645,86220645,260753,0
Uttarakhand,7765460,4842925,2386549,2390954,45,4777548,4777548,65377,0
West Bengal,69891741,57206976,29247454,27849610,202,57097266,57097266,109710,0
